HOIF path-strategy report
Setting: m=6, n=10000, dediag=True, repeats=3, backend=torch/CPU, dtype=float32
Subexpressions (V-statistics) = Bell(m-1) = 52
path_time = mean time to find contraction paths (all subexpressions).
exec_time = mean time to compute the U-statistic via UStats.compute.
est_mem / flops / scaling / n^s counts are static estimates of the chosen paths (est_mem = largest intermediate, # elements).
actual_mem(GB) = measured peak process-RSS increase during the contraction (real memory, excludes the resident input tensors).
'skipped(oom)'   = actual RSS exceeded --mem-limit-gb while running, so the run was killed (est_mem is only informational).
'skipped(timeout)' = pass exceeded its wall-clock budget.
==============================================================================
    optimizer  path_time(s)  exec_time(s)  est_mem(elems)  actual_mem(GB)      flops  scaling  n^2  n^3    u_value
       greedy     6.214e-03     1.064e+02       1.000e+08           3.204  1.200e+14        3   10   42  3.125e-02
           dp     1.527e-02     9.784e+01       1.000e+08           3.200  8.403e+13        3   20   32  3.125e-02
     branch-1     8.018e-03     1.070e+02       1.000e+08           3.200  1.260e+14        3   11   41  3.125e-02
     branch-2     1.015e-02     1.057e+02       1.000e+08           3.202  1.140e+14        3   14   38  3.125e-02
   branch-all     1.776e-02  skipped(oom)       1.000e+12               -  1.070e+14        3   14   38          -
      optimal     1.302e-02  skipped(oom)       1.000e+12               -  1.170e+14        3   11   41          -
         auto     1.796e-02  skipped(oom)       1.000e+12               -  1.070e+14        3   14   38          -
      auto-hq     1.333e-02  skipped(oom)       1.000e+12               -  1.170e+14        3   11   41          -
random-greedy     1.022e-01     1.077e+02       1.000e+08           3.202  8.803e+13        3   18   34  3.125e-02
