HOIF path-strategy report
Setting: m=7, n=1000, dediag=True, repeats=3, backend=torch/CPU, dtype=float32
Subexpressions (V-statistics) = Bell(m-1) = 203
path_time = mean time to find contraction paths (all subexpressions).
exec_time = mean time to compute the U-statistic via UStats.compute.
est_mem / flops / scaling / n^s counts are static estimates of the chosen paths (est_mem = largest intermediate, # elements).
actual_mem(GB) = measured peak process-RSS increase during the contraction (real memory, excludes the resident input tensors).
'skipped(oom)'   = actual RSS exceeded --mem-limit-gb while running, so the run was killed (est_mem is only informational).
'skipped(timeout)' = pass exceeded its wall-clock budget.
==============================================================================
    optimizer  path_time(s)  exec_time(s)  est_mem(elems)  actual_mem(GB)      flops  scaling  n^2  n^3  n^4    u_value
       greedy     2.555e-02     2.293e+00       1.000e+06           0.033  6.329e+11        3   25  178    0  1.562e-02
           dp     1.021e-01     2.145e+00       1.000e+06           0.032  4.832e+11        3   48  155    0  1.562e-02
     branch-1     4.823e-02     2.486e+00       1.000e+06           0.068  6.489e+11        3   26  177    0  1.562e-02
     branch-2     7.120e-02     3.651e+00       1.000e+09           8.021  2.623e+12        4   33  169    1  1.562e-02
   branch-all     2.059e-01     4.188e+01       1.000e+09          16.035  6.300e+11        3   33  170    0  1.562e-02
      optimal     1.817e-01  skipped(oom)       1.000e+12               -  1.762e+13        4   32  163    8          -
         auto     2.124e-01     4.173e+01       1.000e+09          16.080  6.300e+11        3   33  170    0  1.562e-02
      auto-hq     1.025e-01     2.279e+00       1.000e+06           0.045  4.832e+11        3   48  155    0  1.562e-02
random-greedy     5.121e-01     3.191e+00       1.000e+06           0.046  5.051e+11        3   40  163    0  1.562e-02
