HOIF path-strategy report
Setting: m=4, n=10000, dediag=True, repeats=3, backend=torch/CPU, dtype=float32
Subexpressions (V-statistics) = Bell(m-1) = 5
path_time = mean time to find contraction paths (all subexpressions).
exec_time = mean time to compute the U-statistic via UStats.compute.
est_mem / flops / scaling / n^s counts are static estimates of the chosen paths (est_mem = largest intermediate, # elements).
actual_mem(GB) = measured peak process-RSS increase during the contraction (real memory, excludes the resident input tensors).
'skipped(oom)'   = actual RSS exceeded --mem-limit-gb while running, so the run was killed (est_mem is only informational).
'skipped(timeout)' = pass exceeded its wall-clock budget.
==============================================================================
    optimizer  path_time(s)  exec_time(s)  est_mem(elems)  actual_mem(GB)      flops  scaling  n^2  n^3    u_value
       greedy     4.175e-04     5.275e+00       1.000e+08           2.300  4.002e+12        3    3    2  1.250e-01
           dp     7.462e-04     4.340e+00       1.000e+08           2.300  2.002e+12        3    4    1  1.250e-01
     branch-1     5.312e-04     4.907e+00       1.000e+08           2.300  4.002e+12        3    3    2  1.250e-01
     branch-2     5.728e-04     5.628e+00       1.000e+08           2.300  4.002e+12        3    3    2  1.250e-01
   branch-all     5.432e-04     4.968e+00       1.000e+08           2.300  4.002e+12        3    3    2  1.250e-01
      optimal     4.437e-04     5.887e+00       1.000e+08           2.300  4.002e+12        3    3    2  1.250e-01
         auto     4.301e-04     5.156e+00       1.000e+08           2.301  4.002e+12        3    3    2  1.250e-01
      auto-hq     4.426e-04     5.489e+00       1.000e+08           2.302  4.002e+12        3    3    2  1.250e-01
random-greedy     4.635e-03     5.485e+00       1.000e+08           2.301  4.002e+12        3    3    2  1.250e-01
